Федеральный округ;Область;"Численность населения (на конец года; тысяч человек)";Численность врачей всех специальностей (на конец года: тысяч человек);"Ожидаемая продолжительность жизни при рождении (число лет; все население)";"Ожидаемая продолжительность жизни при рождении (число лет; мужчины)";"Ожидаемая продолжительность жизни при рождении (число лет; женщины)"
Центральный федеральный округ;Белгородская область;1536;6,2;71,71;66,22;77,11
Центральный федеральный округ;Брянская область;1264;4,6;68,83;62,28;75,71
Центральный федеральный округ;Владимирская область;1432;5;68,08;61,77;74,42
Центральный федеральный округ;Воронежская область;2332;12,6;70,41;64,45;76,44
Центральный федеральный округ;Ивановская область;1054;5,7;68,56;62,19;74,79
Центральный федеральный округ;Калужская область;1008;4;69,49;63,45;75,63
Центральный федеральный округ;Костромская область;662;2,4;68,45;62,67;74,27
Центральный федеральный округ;Курская область;1122;6,4;69,27;63,04;75,67
Центральный федеральный округ;Липецкая область;1166;4,8;69,87;63,49;76,41
Центральный федеральный округ;Московская область;7199;29,3;70,36;64,69;75,85
Центральный федеральный округ;Орловская область;781;3,2;69,48;63,21;75,82
Центральный федеральный округ;Рязанская область;1148;6,6;69,34;63,03;75,8
Центральный федеральный округ;Смоленская область;981;5,9;68,12;61,83;74,58
Центральный федеральный округ;Тамбовская область;1082;3,7;70,18;63,93;76,68
Центральный федеральный округ;Тверская область;1342;7,3;67,02;60,8;73,48
Центральный федеральный округ;Тульская область;1545;5,2;68,63;62,47;74,77
Центральный федеральный округ;Ярославская область;1271;8,4;69,95;63,48;76,26
Центральный федеральный округ;г. Москва;11613;90,4;75,79;71,47;79,81
Северо-Западный федеральный округ;Республика Карелия;640;3,2;67,95;61,75;74,23
Северо-Западный федеральный округ;Республика Коми;890;4,3;67,95;61,62;74,58
Северо-Западный федеральный округ;Архангельская область;1213;6,9;68,75;62,69;75
Северо-Западный федеральный округ;Ненецкий автономный округ;42;0,2;66,71;60,61;73,47
Северо-Западный федеральный округ;Вологодская область;1198;4,2;68,36;62,05;75,06
Северо-Западный федеральный округ;Калининградская область;947;3,4;69,9;64,38;75,26
Северо-Западный федеральный округ;Ленинградская область;1734;5,9;69,44;63,53;75,48
Северо-Западный федеральный округ;Мурманская область;788;4,6;68,93;62,97;74,62
Северо-Западный федеральный округ;Новгородская область;630;2,6;66,46;59,71;73,61
Северо-Западный федеральный округ;Псковская область;667;2,4;66,47;60,3;73,1
Северо-Западный федеральный округ;г. Санкт-Петербург;4953;43,2;73,06;67,79;77,71
Южный федеральный округ;Республика Адыгея;443;1,7;70,99;65,8;76,14
Южный федеральный округ;Республика Калмыкия;287;1,4;70,8;65,18;76,62
Южный федеральный округ;Краснодарский край;5284;22,2;71,15;66,03;76,16
Южный федеральный округ;Астраханская область;1015;7,1;69,84;64,24;75,55
Южный федеральный округ;Волгоградская область;2595;13,1;70,5;64,9;76,1
Южный федеральный округ;Ростовская область;4260;17;70,28;64,86;75,68
Северо-Кавказский федеральный округ;Республика Дагестан;2931;11,6;74,26;70,56;77,85
Северо-Кавказский федеральный округ;Республика Ингушетия (1990 г. - включая Чеченскую Республику);430;1,5;76,29;72,37;79,66
Северо-Кавказский федеральный округ;Кабардино-Балкарская Республика;859;4;72,44;67,52;77,19
Северо-Кавказский федеральный округ;Карачаево-Черкесская Республика;475;1,7;72,85;67,64;77,8
Северо-Кавказский федеральный округ;Республика Северная Осетия - Алания;709;5,3;72,59;66,75;78,19
Северо-Кавказский федеральный округ;Чеченская Республика (1990 г. - включая Республику Ингушетия);1302;3,5;72,13;68,61;75,57
Северо-Кавказский федеральный округ;Ставропольский край;2787;12,5;71,57;66,44;76,53
Приволжский федеральный округ;Республика Башкортостан;4064;17,5;69,04;63,13;75,17
Приволжский федеральный округ;Республика Марий Эл;692;2,4;68,31;61,94;75,08
Приволжский федеральный округ;Республика Мордовия;825;4,3;70,11;64,12;76,23
Приволжский федеральный округ;Республика Татарстан;3803;16,8;71,3;65,38;77,18
Приволжский федеральный округ;Удмуртская Республика;1518;8,8;68,88;62,58;75,26
Приволжский федеральный округ;Чувашская Республика;1247;6,1;69,66;63,44;76,17
Приволжский федеральный округ;Пермский край;2631;14,4;67,52;61,3;73,86
Приволжский федеральный округ;Кировская область;1328;6,5;69,32;63,38;75,43
Приволжский федеральный округ;Нижегородская область;3297;16,6;68,48;62,07;74,93
Приволжский федеральный округ;Оренбургская область;2024;10,6;68,31;62,36;74,47
